x_surface,y_surface,z_surface,x_eef,y_eef,z_eef,err_angle
-0.009054818,-0.038770998,0.999207096,-0.033798148,-0.011956417,0.999357158,2.090647828
-0.00950641,-0.038546654,0.999211581,-0.03570514,-0.017116128,0.999215783,1.939401059
-0.009488547,-0.038535634,0.999212176,-0.036032925,-0.017088814,0.999204484,1.955359145
-0.009903215,-0.038821699,0.999197079,-0.034806163,-0.014432663,0.999289862,1.99724373
-0.01084581,-0.039561914,0.999158257,-0.040398034,-0.019702798,0.998989389,2.040148861
-0.011011514,-0.039622691,0.999154037,-0.032505071,-0.009995272,0.99942159,2.097352806
-0.008741399,-0.037826557,0.999246086,-0.035541301,-0.013527746,0.999276646,2.072817372
-0.009652822,-0.038126421,0.9992263,-0.035392867,-0.015511503,0.99925309,1.963248049
-0.009540549,-0.038511038,0.999212629,-0.036088215,-0.017226763,0.99920012,1.949665918
-0.009418223,-0.038339016,0.999220405,-0.036101483,-0.01641296,0.999213339,1.978876198
-0.00925271,-0.037995279,0.999235081,-0.036246687,-0.015359105,0.999224837,2.018568299
-0.009321499,-0.037880587,0.999238796,-0.035130284,-0.013160506,0.999296084,2.047725054
-0.009312838,-0.037834563,0.99924062,-0.0351483,-0.013789135,0.999286974,2.02229361
-0.009421371,-0.038041632,0.999231741,-0.035443764,-0.013579683,0.999279406,2.046421856
-0.009459985,-0.038358261,0.999219271,-0.036732077,-0.017768768,0.999167166,1.957982621
-0.009480796,-0.038652526,0.999207735,-0.036632698,-0.017339424,0.999178357,1.977819486
-0.009484306,-0.038884514,0.9991987,-0.036013115,-0.016311096,0.999218196,1.995884306
-0.009423122,-0.038740849,0.99920486,-0.042163804,-0.017240643,0.998961948,2.244405436
-0.009875133,-0.03849323,0.999210064,-0.039304093,-0.016803835,0.999085992,2.094752705
-0.01063475,-0.038335751,0.999208323,-0.032186232,-0.011551362,0.999415135,1.969866113
-0.01164389,-0.038776861,0.999180051,-0.038747535,-0.018330885,0.999080881,1.945329744
-0.01119629,-0.03891102,0.999179952,-0.036252822,-0.016601608,0.999204744,1.922310429
