x_surface,y_surface,z_surface,x_eef,y_eef,z_eef,err_angle
-0.002460149,-0.004252287,0.999987933,-0.039105959,-0.015677889,0.99911207,2.2000446
-0.003402015,-0.005081125,0.999981304,-0.038645402,-0.015430467,0.999133842,2.105240033
-0.003226855,-0.005090593,0.999981836,-0.037880011,-0.015276843,0.999165513,2.070122168
-0.002614879,-0.00456183,0.999986176,-0.038000794,-0.014914917,0.999166395,2.113100348
-0.003275721,-0.005379623,0.999980164,-0.038409916,-0.015395691,0.999143459,2.093909498
-0.003163402,-0.005301238,0.999980945,-0.039227234,-0.015120215,0.999115911,2.142221282
-0.002102617,-0.004322576,0.999988447,-0.039570217,-0.015762385,0.999092461,2.245299851
-0.002973742,-0.005164336,0.999982243,-0.038977056,-0.015573329,0.999118742,2.148015625
-0.003394632,-0.005494638,0.999979142,-0.038024296,-0.015143149,0.999162068,2.06035046
-0.00319547,-0.005228812,0.999981224,-0.037736238,-0.015129538,0.999173195,2.059367691
-0.003273114,-0.005047075,0.999981907,-0.038402093,-0.015341096,0.999144599,2.098045153
-0.00324579,-0.0050261,0.999982101,-0.039074113,-0.014883515,0.999125465,2.129777647
-0.002547914,-0.004423522,0.99998697,-0.039347901,-0.015626837,0.99910337,2.20474632
-0.00330363,-0.005464528,0.999979612,-0.038930746,-0.016113423,0.999111983,2.13122022
-0.002956236,-0.005433391,0.999980869,-0.03811698,-0.015301678,0.999156121,2.093053019
-0.002953505,-0.005385395,0.999981137,-0.037664933,-0.015334692,0.999172758,2.069533605
-0.00218126,-0.004422411,0.999987842,-0.037998065,-0.014750672,0.999168937,2.136409097
-0.003418727,-0.005434318,0.99997939,-0.03909496,-0.014779055,0.9991262,2.113740606
-0.0034417,-0.00485606,0.999982287,-0.039031343,-0.014885589,0.999127106,2.119248021
-0.003169301,-0.004214329,0.999986097,-0.039539138,-0.015668239,0.999095172,2.185462061
-0.00324444,-0.003728971,0.999987784,-0.038220369,-0.015478109,0.999149454,2.114684143
-0.003796621,-0.003345528,0.999987196,-0.038066604,-0.015227471,0.999159175,2.078851882
-0.004288249,-0.003046883,0.999986164,-0.038306405,-0.014991669,0.999153576,2.066422205
-0.005586271,-0.003476957,0.999978352,-0.038806857,-0.014639805,0.999139482,2.008661297
-0.005827609,-0.002163705,0.999980678,-0.039130817,-0.015262869,0.999117523,2.051135804
-0.005761953,-0.002174295,0.999981036,-0.038998017,-0.015465478,0.999119599,2.051613421
-0.005667206,-0.002170159,0.999981586,-0.038508868,-0.015709219,0.999134769,2.036001185
-0.005853787,-0.001678992,0.999981457,-0.038226888,-0.015388277,0.999150592,2.014971231
-0.005602091,-0.002251959,0.999981772,-0.03842187,-0.014880519,0.999150804,2.015505995
-0.005617673,-0.001808299,0.999982586,-0.038255052,-0.014432355,0.999163779,2.005647684
-0.005345476,-0.002122077,0.999983461,-0.035157784,-0.014797264,0.999272221,1.856623572
-0.005281864,-0.002476427,0.999982984,-0.039202898,-0.015962511,0.999103764,2.092223589
-0.005270294,-0.003131948,0.999981207,-0.038912273,-0.015775112,0.999118102,2.0598741
-0.00540542,-0.003524689,0.999979179,-0.038499535,-0.015205794,0.999142918,2.011477337
-0.00544075,-0.004214719,0.999976317,-0.038222062,-0.015008684,0.999156551,1.978086053
-0.005289023,-0.004469631,0.999976024,-0.038197324,-0.015044329,0.999156961,1.981117458
-0.005588396,-0.003951456,0.999976578,-0.038529966,-0.015100729,0.999143338,1.993258892
-0.006149006,-0.004254527,0.999972044,-0.038825633,-0.015631287,0.999123733,1.983155718
-0.006277034,-0.004201605,0.999971472,-0.038851594,-0.016448886,0.999109597,1.994652919
-0.006737308,-0.003841625,0.999969925,-0.039065323,-0.015697967,0.999113344,1.973608316
-0.006697106,-0.004854938,0.999965789,-0.038265796,-0.015077778,0.999153837,1.90188252
-0.007651063,-0.005663104,0.999954694,-0.038190124,-0.015045721,0.999157215,1.831127473
-0.008260521,-0.006823054,0.999942603,-0.038255265,-0.015208434,0.99915226,1.785112912
-0.0092116,-0.007419631,0.999930045,-0.038659544,-0.015730017,0.999128623,1.753811886
-0.010029684,-0.008670853,0.999912107,-0.038963427,-0.015612005,0.99911867,1.705486624
-0.01090904,-0.009412822,0.99989619,-0.039090212,-0.015351944,0.999117747,1.650789777
