x_surface,y_surface,z_surface,x_eef,y_eef,z_eef,err_angle
-0.007555866,-0.014384584,0.999867988,-0.038807762,-0.016503502,0.9991104,1.795310985
-0.007514574,-0.013660768,0.99987845,-0.039336399,-0.016735156,0.999085873,1.832386555
-0.007982874,-0.013973868,0.999870494,-0.039360813,-0.01744302,0.999072804,1.809430506
-0.00799075,-0.01357329,0.999875949,-0.039489666,-0.017575014,0.999065406,1.819930143
-0.008213693,-0.012700364,0.999885611,-0.0390661,-0.017118012,0.999089993,1.786396006
-0.008010858,-0.013994194,0.999869986,-0.038885479,-0.016680881,0.999104433,1.776283314
-0.008099732,-0.013592975,0.999874805,-0.038677902,-0.016896289,0.999108871,1.762809425
-0.008005612,-0.013283303,0.999879725,-0.039011924,-0.016741128,0.999098496,1.788176686
-0.007915603,-0.012648379,0.999888675,-0.039077102,-0.01687214,0.999093745,1.802398737
-0.007596729,-0.01311362,0.999885155,-0.03935083,-0.017319314,0.999075349,1.83592915
-0.007223244,-0.012715274,0.999893068,-0.03921057,-0.016980239,0.999086684,1.849615416
-0.007303083,-0.013201205,0.99988619,-0.039123151,-0.016679323,0.99909518,1.834652876
-0.007045786,-0.013439184,0.999884866,-0.038769085,-0.017051885,0.999102693,1.82998617
-0.006723347,-0.013914478,0.999880585,-0.038742593,-0.016753277,0.999108772,1.842373983
-0.006618397,-0.01333595,0.999889168,-0.039154845,-0.017045235,0.999087763,1.876922168
-0.006119567,-0.013191596,0.999894261,-0.032836397,-0.015444158,0.999341408,1.536565339
-0.006293663,-0.01312898,0.999894004,-0.043009696,-0.017902202,0.998914249,2.12224019
-0.006694587,-0.013605653,0.999885028,-0.03203347,-0.015328604,0.999369246,1.455502585
-0.006259677,-0.013272066,0.999892329,-0.038817184,-0.016874094,0.999103844,1.877417233
-0.006484415,-0.013695624,0.999885185,-0.038637981,-0.016908919,0.999110202,1.852053341
-0.006510238,-0.013606195,0.999886238,-0.038880583,-0.016903054,0.999100889,1.864903939
-0.00662211,-0.0134839,0.99988716,-0.039288677,-0.0170774,0.99908196,1.883596895
-0.00673146,-0.013474592,0.999886555,-0.039726637,-0.016945404,0.999066888,1.90158229
-0.006499936,-0.013290916,0.999890545,-0.039596906,-0.01688979,0.99907298,1.908157803
-0.007065106,-0.013962982,0.999877552,-0.038723704,-0.01744132,0.999097731,1.825443542
-0.007177354,-0.013745735,0.999879763,-0.038764757,-0.017089478,0.999102219,1.820558581
-0.00710313,-0.013092265,0.999889063,-0.038257374,-0.017132898,0.999121032,1.800569257
-0.008058675,-0.013327276,0.999878713,-0.039200418,-0.016578855,0.999093824,1.794627111
-0.008327398,-0.01321229,0.999878037,-0.039541363,-0.016836708,0.999076076,1.801104977
-0.008774628,-0.013181244,0.999874622,-0.039341959,-0.017119913,0.999079135,1.766516267
-0.009019666,-0.01349747,0.999868223,-0.038826221,-0.017334656,0.999095608,1.722517066
-0.009616063,-0.01313308,0.999867518,-0.038645128,-0.017432679,0.999100924,1.682021743
-0.009756786,-0.014140978,0.999852408,-0.038729709,-0.016737504,0.999109536,1.667281462
-0.010241972,-0.013782461,0.999852562,-0.039319499,-0.016661151,0.999087775,1.674797052
-0.010670648,-0.013799212,0.999847848,-0.03961665,-0.016895095,0.999072108,1.66859359
-0.010994563,-0.013882262,0.999843189,-0.039406251,-0.016488336,0.999087224,1.635332787
-0.011311538,-0.014160642,0.999835749,-0.039400103,-0.017028112,0.999078413,1.618356224
-0.011419068,-0.01435325,0.99983178,-0.03865285,-0.017464105,0.999100076,1.57113641
-0.011758677,-0.013794935,0.999835703,-0.03869355,-0.017053023,0.999105602,1.555114266
-0.011741975,-0.014082287,0.999831893,-0.038928158,-0.016815414,0.999100516,1.566114881
-0.011732199,-0.013786083,0.999836136,-0.039425147,-0.016824978,0.999080867,1.596851943
-0.011604782,-0.013761178,0.999837966,-0.039502846,-0.016934393,0.999075949,1.609393278
-0.011364778,-0.013860314,0.999839354,-0.039428805,-0.017238995,0.999073664,1.620209441
-0.011187922,-0.014210529,0.999836432,-0.038898789,-0.017581152,0.999088478,1.600043881
